Jeremy Glebe <jeremyglebe@gmail.com>                                     
CMPS 5243 Algorithm Analysis, Dr. Halverson                              
3/27/2020                                                                
Generates an array of values to be inserted into a hash table. Computes  
average number of probes needed to place an element into the hash table  
through two collision resolution policies. (linear and double)           

Linear Probing: 66% Loaded
Index __________________________________________________
   0 | 24880  9953 11819 22705  2489 28615 10887  8093
   8 | 14314 [   ] 21469 [   ] [   ] 18984 31736  4680
  16 | 10279 19921 27696 [   ] 24278 18680  3441 [   ]
  24 |  3445 19618 26460 17132 11846  2206 31441  6871
  32 | [   ]  6564 29267 15584 14031 26782 [   ] [   ]
  40 | [   ] [   ] 16836 31454 [   ] [   ] [   ]  8755
  48 | [   ] 14044  7513 [   ] 18712 [   ]   987 [   ]
  56 | 26802 32401 [   ] 24628 29294 [   ] [   ] 14680
  64 | 15303 22768 27745 29610  6597 10330 22462  4424
  72 | [   ]  9092 23710 24020 [   ]  5364 [   ] 17184
  80 | [   ] 30870    81 19675 12213 11592 29315 [   ]
  88 | [   ] 30256  8798 [   ] [   ]  4447  7558 [   ]
  96 |  8804 26843 [   ] 27467  4764  5699 [   ]  9433
 104 | 26228  8191 [   ] [   ]  4151 18147 28410 23745
 112 | 24677  9442 31836 26238 [   ] [   ] [   ]  1363
 120 | 15670 30909 [   ] [   ] [   ] 25627  7278  9768
 128 |  4481 23765 23455  6971 28121  2613  2622 [   ]
 136 | [   ] [   ] [   ] [   ]  7604 13514 [   ] [   ]
 144 | [   ] [   ] 27514 [   ] 25961 29693 20675 15701
 152 |  8547 20988  7304 14772 24414 21614 [   ] [   ]
 160 | [   ] 19132 [   ] 21622 [   ] [   ] [   ] 22870
 168 | [   ] 20695 [   ] [   ] [   ]  2661 31896 11370
 176 |  8883 [   ] [   ]  1423 [   ] 21640  4225 29727
 184 | 18841 18219 [   ] [   ] 31599 [   ] 16362 [   ]
 192 | 15120 13877 12010  2372 21344 12014  5173 [   ]
 200 | [   ] [   ]  1757 [   ] [   ] 27262 29129 11402
 208 | 17313 [   ] [   ] 31311 [   ] 23538 31935 [   ]
 216 | [   ] 28829 [   ] [   ] 28210 11106 23547 [   ]
 224 | 10487  4267 17953 31949 24486 [   ] [   ] [   ]
 232 | 21691 26357  2098 [   ] 30092 [   ] 18898 18899
 240 | 25741 24810 32585  9262  9574 [   ] 14552 31657
 248 | [   ] 13000 [   ] [   ] [   ] [   ] [   ]  6475
 256 |  8652 18606 26693 11455  1504 11457 22032  8968
 264 | 15192 24833 30744 [   ] 13330 14264 11776  4314
 272 | 16133 27326 [   ] [   ] 18314 [   ] [   ]  7743
 280 | [   ]  1525 27028 [   ]  3394 [   ] 29209 13970
 288 | 25167 13662 10553   602 31392 10555 23308 27659
 296 | 13669 27655 28590 [   ] 16161 [   ] [   ] 13365
 304 | [   ] 13367 [   ] 15857 29853  2175 [   ]
Average # of Probes: 1.639

Double Probing: 66% Loaded
Index __________________________________________________
   0 | 24880  9953 22705 28615 [   ] [   ] [   ]  8093
   8 | 14314 [   ] 21469 11819 [   ] 18984 31736  4680
  16 | 10279 19921 10887 [   ] 24278  2489 18680 [   ]
  24 | 27696 19618 26460 17132 11846  2206 31441  6871
  32 |  3441  6564 15584 [   ]  3445 [   ] 14031 26782
  40 | [   ] 29267 16836 31454 [   ] [   ] [   ]  8755
  48 | [   ] 14044 [   ] [   ] 18712  7513   987 [   ]
  56 | 26802 32401 [   ] 24628 29294 [   ] [   ] 14680
  64 | 15303 22768 27745 29610 10330 [   ] 22462 [   ]
  72 | [   ]  9092 23710  4424 24020  5364 [   ] 17184
  80 | [   ] 30870 19675    81 12213 11592 [   ] 29315
  88 | [   ] 30256  8798 [   ] [   ]  4447  7558 [   ]
  96 |  8804 26843  6597 27467 [   ]  5699 [   ]  9433
 104 | 26228  8191 [   ] [   ]  4151 18147 28410 [   ]
 112 |  9442 [   ] 31836 23745 24677 [   ] [   ]  1363
 120 | 15670 [   ] [   ] 26238  4764 25627 [   ]  9768
 128 | [   ]  4481 23455  6971 [   ] 28121  2622 23765
 136 | [   ]  2613 [   ] [   ] 30909 13514 [   ]  7278
 144 | [   ]  7604 27514 [   ] 25961 20675  8547 15701
 152 | 29693 [   ] [   ] 14772 24414 [   ] [   ] [   ]
 160 | 20988 19132 [   ] 21622 [   ] 21614  7304 22870
 168 | [   ] 20695 [   ] [   ] [   ]  2661 31896 11370
 176 | [   ] [   ] [   ]  1423 [   ] 21640  4225 18841
 184 | [   ] [   ] [   ]  8883 31599 [   ] 29727 18219
 192 | 15120 13877 12010  2372 21344  5173 [   ] 16362
 200 | [   ] 12014  1757 [   ] [   ] 27262 29129 [   ]
 208 | 17313 11402 [   ] 31311 [   ] 23538 [   ] [   ]
 216 | [   ] 28829 [   ] 31935 28210 11106 23547 [   ]
 224 | 10487 [   ] 17953 31949 24486 [   ] [   ] [   ]
 232 | 21691 26357 [   ] [   ] 30092 [   ] 18898 18899
 240 |  4267 24810 [   ]  9262  9574 25741 14552 32585
 248 | [   ] 13000  2098 [   ] [   ] [   ] 31657  6475
 256 | [   ] 18606 26693 11455  1504 11457 22032 [   ]
 264 | 15192 [   ] 30744  8652 13330 14264 [   ]  4314
 272 | 16133 [   ] [   ] [   ] 18314 [   ]  8968  7743
 280 | 24833  1525 27028 11776  3394 [   ] 29209 13970
 288 | [   ] 13662 10553   602 31392 27655 23308 25167
 296 | 13669 28590 10555 [   ] 16161 27659 [   ] 13365
 304 | 27326 13367 [   ] 15857 29853  2175 [   ]
Average # of Probes: 1.571

